#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	DNA_B03_15.metaphlan_profile	DNA_B02_24.metaphlan_profile	DNA_B01_01.metaphlan_profile	DNA_B01_03.metaphlan_profile	DNA_B04_32_R1.metaphlan_profile	DNA_B01_02.metaphlan_profile	DNA_B04_41_R1.metaphlan_profile	DNA_B02_02.metaphlan_profile	DNA_B02_23.metaphlan_profile	DNA_B01_04.metaphlan_profile	DNA_B03_19.metaphlan_profile	DNA_B01_27.metaphlan_profile	DNA_B01_21.metaphlan_profile	DNA_B02_15.metaphlan_profile
UNKNOWN	-1	3.59843	0.0	15.85978	65.21805	60.29748	42.06629	44.44828	34.59523	0.0	40.29998	0	54.07273	30.5303	47.50067
k__Bacteria	2	96.40157242213486	100.0	84.1402166114319	34.781949324570114	39.70252334671244	57.93370982779129	55.551722092909	65.40477318488689	100.0	59.70001671216089	0	45.82995637310374	69.46970399925767	52.49933291826026
k__Bacteria|p__Actinobacteria	2|201174	90.49259947989113	100.0	68.58883279579078	10.529963858808872	18.48481198682775	0	38.61720180597359	65.40477318488689	100.0	7.434449051167067	0	45.82995637310374	19.728110746265195	33.58307777728365
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	90.49259947989113	100.0	68.58883279579078	10.529963858808872	17.916438603100882	0	38.61720180597359	65.40477318488689	100.0	7.434449051167067	0	45.82995637310374	19.728110746265195	33.58307777728365
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.4034405805866344	0	0	0.2161732932471357	10.51085397131332	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.4034405805866344	0	0	0.2161732932471357	10.51085397131332	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0.4034405805866344	0	0	0.2161732932471357	10.51085397131332	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	0	0	0	0	8.262162602740549	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	2|201174|1760|2037|2049|1654|544580	0	0	0	0.1016467687061237	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	2|201174|1760|2037|2049|1654|1284680	0	0	0	0.026333413833632	0.1817780031429229	0	0	0	0	0	0	0	0	0
