sample	DNA_B03_15.metaphlan_profile	DNA_B02_24.metaphlan_profile	DNA_B01_01.metaphlan_profile	DNA_B01_03.metaphlan_profile	DNA_B04_32_R1.metaphlan_profile	DNA_B01_02.metaphlan_profile	DNA_B04_41_R1.metaphlan_profile	DNA_B02_02.metaphlan_profile	DNA_B02_23.metaphlan_profile	DNA_B01_04.metaphlan_profile	DNA_B03_19.metaphlan_profile	DNA_B01_27.metaphlan_profile	DNA_B01_21.metaphlan_profile	DNA_B02_15.metaphlan_profile
UNKNOWN	3.59843	0.0	15.85978	65.21805	60.29748	42.06629	44.44828	34.59523	0.0	40.29998	0	54.07273	30.5303	47.50067
Actinomyces	0.4034405805866344	0	0	0.2161732932471357	10.51085397131332	0	0	0	0	0	0	0	0	0
Alloscardovia	0	0	0	0.0089876557054689	1.841657128969942	0	0	0	0	0	0	0	0	0
Bifidobacterium	1.93727635923798	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium	88.15189218022377	100.0	0	0	0	0	6.336096097784178	20.594576494729363	100.0	0	0	2.2796093147472964	0	0
Rothia	0	0	0	5.786478130212513	5.56392750281762	0	32.28111126336163	0	0	7.434449051167067	0	0	0	0
Tropheryma	0	0	0	4.337590814563423	0	0	0	15.718487141863084	0	0	0	0	0	0
Cutibacterium	0	0	68.58883279579078	0.1807339650803312	0	0	0	29.091709548294443	0	0	0	43.55034705835645	19.728110746265195	33.58307777728365
Alloprevotella	0.1933333534925914	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella	0.4940580586634411	0	0	0	0.7883412440769916	0	0	0	0	0	0	0	0	0
Lactobacillus	0.0397560084668884	0	0	0.0340271810242269	0	0	0	0	0	0	0	0	42.160447819198296	0
Streptococcus	3.4227378288478985	0	0	18.790687257979076	14.501906457965909	0	15.326936777149754	0	0	2.2499503498412343	0	0	0	0
Oribacterium	0.257074073178107	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria	1.5020136195947988	0	0	0	1.5823162762168816	0	0.0206152440686785	0	0	0	0	0	0	0
UNKNOWN	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0
Atopobium	0	0	0	0	0.568373383726866	0	0	0	0	0	0	0	0	0
Gemella	0	0	0	4.82792934516655	0.3082980342918914	0	1.5612422632157423	0	0	0	0	0	0	0
Staphylococcus	0	0	0	0.5508939043772038	0.6842690196282543	0	0	0	0	50.01561731115258	0	0	0	18.91625514097661
Abiotrophia	0	0	0	0	0	0	0.0257204473290168	0	0	0	0	0	0	0
Clostridiales_Family_XIII_Incertae_Sedis_unclassified	0	0	0	0	0.0338821334240844	0	0	0	0	0	0	0	0	0
Mogibacterium	0	0	0	0	0.0354146508252675	0	0	0	0	0	0	0	0	0
Stomatobaculum	0	0	0	0	3.1263910819462097	0	0	0	0	0	0	0	0	0
Veillonella	0	0	0	0.0484477772141937	0	0	0	0	0	0	0	0	0	0
Klebsiella	0	0	15.551383815641124	0	0.1568964317615382	57.93370982779129	0	0	0	0	0	0	0	0
Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	0	0	7.581145433794191	0
Malassezia	0	0	0	0	0	0	0	0	0	0	0	0.0973152959395357	0	0
