sample	dataset	forward_read	reverse_read
DNA_B02_15	MGX_DATA	data/DNA_B02_15_S41_L002_R1_001.fastq.gz	data/DNA_B02_15_S41_L002_R2_001.fastq.gz
DNA_B01_21	MGX_DATA	data/DNA_B01_21_S19_L001_R1_001.fastq.gz	data/DNA_B01_21_S19_L001_R2_001.fastq.gz
DNA_B01_27	MGX_DATA	data/DNA_B01_27_S25_L001_R1_001.fastq.gz	data/DNA_B01_27_S25_L001_R2_001.fastq.gz
DNA_B03_19	MGX_DATA	data/DNA_B03_19_S18_L001_R1_001.fastq.gz	data/DNA_B03_19_S18_L001_R2_001.fastq.gz
DNA_B01_04	MGX_DATA	data/DNA_B01_04_S4_L001_R1_001.fastq.gz	data/DNA_B01_04_S4_L001_R2_001.fastq.gz
DNA_B02_23	MGX_DATA	data/DNA_B02_23_S47_L002_R1_001.fastq.gz	data/DNA_B02_23_S47_L002_R2_001.fastq.gz
DNA_B02_02	MGX_DATA	data/DNA_B02_02_S31_L002_R1_001.fastq.gz	data/DNA_B02_02_S31_L002_R2_001.fastq.gz
DNA_B04_41	MGX_DATA	data/DNA_B04_41_R1.fastq.gz	data/DNA_B04_41_R2.fastq.gz
DNA_B01_02	MGX_DATA	data/DNA_B01_02_S2_L001_R1_001.fastq.gz	data/DNA_B01_02_S2_L001_R2_001.fastq.gz
DNA_B04_32	MGX_DATA	data/DNA_B04_32_R1.fastq.gz	data/DNA_B04_32_R2.fastq.gz
DNA_B01_03	MGX_DATA	data/DNA_B01_03_S3_L001_R1_001.fastq.gz	data/DNA_B01_03_S3_L001_R2_001.fastq.gz
DNA_B01_01	MGX_DATA	data/DNA_B01_01_S1_L001_R1_001.fastq.gz	data/DNA_B01_01_S1_L001_R2_001.fastq.gz
DNA_B02_24	MGX_DATA	data/DNA_B02_24_S48_L002_R1_001.fastq.gz	data/DNA_B02_24_S48_L002_R2_001.fastq.gz
DNA_B03_15	MGX_DATA	data/DNA_B03_15_S14_L001_R1_001.fastq.gz	data/DNA_B03_15_S14_L001_R2_001.fastq.gz
